State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,5707,0
ACT,Canberra,7203,0
ACT,Fenner,5545,0
NSW,Banks,7635,0
NSW,Barton,6821,0
NSW,Bennelong,9805,0
NSW,Berowra,8302,0
NSW,Blaxland,6402,0
NSW,Bradfield,8743,0
NSW,Calare,5989,0
NSW,Chifley,7287,0
NSW,Cook,9261,0
NSW,Cowper,6937,0
NSW,Cunningham,7395,0
NSW,Dobell,7742,0
NSW,Eden-Monaro,7950,0
NSW,Farrer,8884,0
NSW,Fowler,6257,0
NSW,Gilmore,8086,0
NSW,Grayndler,7069,0
NSW,Greenway,7904,0
NSW,Hughes,7027,0
NSW,Hume,9703,0
NSW,Hunter,8301,0
NSW,Kingsford Smith,7760,0
NSW,Lindsay,9014,0
NSW,Lyne,7780,0
NSW,Macarthur,7629,0
NSW,Mackellar,7805,0
NSW,Macquarie,7206,0
NSW,McMahon,7171,0
NSW,Mitchell,11859,0
NSW,New England,6333,0
NSW,Newcastle,8676,0
NSW,North Sydney,10065,0
NSW,Page,7635,0
NSW,Parkes,7520,0
NSW,Parramatta,8886,0
NSW,Paterson,7784,0
NSW,Reid,8899,0
NSW,Richmond,7231,0
NSW,Riverina,6557,0
NSW,Robertson,8136,0
NSW,Shortland,9105,0
NSW,Sydney,9631,0
NSW,Warringah,7872,0
NSW,Watson,6797,0
NSW,Wentworth,9258,0
NSW,Werriwa,7791,0
NSW,Whitlam,7407,0
NT,Lingiari,2012,0
NT,Solomon,2890,0
OS,Overseas,,0
QLD,Blair,11906,0
QLD,Bonner,11362,0
QLD,Bowman,12201,0
QLD,Brisbane,12453,0
QLD,Capricornia,9408,0
QLD,Dawson,6841,0
QLD,Dickson,12897,0
QLD,Fadden,12545,0
QLD,Fairfax,10153,0
QLD,Fisher,10917,0
QLD,Flynn,10924,0
QLD,Forde,12778,0
QLD,Griffith,11160,0
QLD,Groom,11868,0
QLD,Herbert,9541,0
QLD,Hinkler,9727,0
QLD,Kennedy,8504,0
QLD,Leichhardt,7920,0
QLD,Lilley,10983,0
QLD,Longman,12701,0
QLD,Maranoa,14245,0
QLD,McPherson,9700,0
QLD,Moncrieff,10904,0
QLD,Moreton,10426,0
QLD,Oxley,9409,0
QLD,Petrie,11689,0
QLD,Rankin,10797,0
QLD,Ryan,10650,0
QLD,Wide Bay,9948,0
QLD,Wright,13033,0
SA,Adelaide,12002,0
SA,Barker,8183,0
SA,Boothby,12227,0
SA,Grey,8486,0
SA,Hindmarsh,11627,0
SA,Kingston,11018,0
SA,Makin,10762,0
SA,Mayo,11044,0
SA,Spence,11108,0
SA,Sturt,14837,0
TAS,Bass,8636,0
TAS,Braddon,5905,0
TAS,Clark,6689,0
TAS,Franklin,7514,0
TAS,Lyons,8035,0
VIC,Aston,11202,0
VIC,Ballarat,7816,0
VIC,Bendigo,8949,0
VIC,Bruce,9956,0
VIC,Calwell,8125,0
VIC,Casey,11234,0
VIC,Chisholm,11619,0
VIC,Cooper,8848,0
VIC,Corangamite,10830,0
VIC,Corio,9492,0
VIC,Deakin,12184,0
VIC,Dunkley,10654,0
VIC,Flinders,10462,0
VIC,Fraser,8808,0
VIC,Gellibrand,8597,0
VIC,Gippsland,6644,0
VIC,Goldstein,11487,0
VIC,Gorton,9723,0
VIC,Hawke,9060,0
VIC,Higgins,11235,0
VIC,Holt,8158,0
VIC,Hotham,9731,0
VIC,Indi,9521,0
VIC,Isaacs,9498,0
VIC,Jagajaga,9442,0
VIC,Kooyong,11229,0
VIC,La Trobe,11791,0
VIC,Lalor,7878,0
VIC,Macnamara,14482,0
VIC,Mallee,9427,0
VIC,Maribyrnong,11003,0
VIC,McEwen,11169,0
VIC,Melbourne,10269,0
VIC,Menzies,12627,0
VIC,Monash,7928,0
VIC,Nicholls,7078,0
VIC,Scullin,8791,0
VIC,Wannon,7642,0
VIC,Wills,9366,0
WA,Brand,8588,0
WA,Burt,7537,0
WA,Canning,8245,0
WA,Cowan,8371,0
WA,Curtin,9816,0
WA,Durack,7333,0
WA,Forrest,6753,0
WA,Fremantle,8526,0
WA,Hasluck,8804,0
WA,Moore,9249,0
WA,O'Connor,7950,0
WA,Pearce,8570,0
WA,Perth,9576,0
WA,Swan,8753,0
WA,Tangney,9640,0
