State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7530,2539
ACT,Canberra,9261,2651
ACT,Fenner,7351,2456
NSW,Banks,10508,3887
NSW,Barton,9820,3388
NSW,Bennelong,13381,4750
NSW,Berowra,11200,4000
NSW,Blaxland,9779,3213
NSW,Bradfield,11849,4062
NSW,Calare,7507,2061
NSW,Chifley,10606,3506
NSW,Cook,11706,4599
NSW,Cowper,9168,2871
NSW,Cunningham,9563,3410
NSW,Dobell,10117,3955
NSW,Eden-Monaro,10273,3261
NSW,Farrer,11086,3596
NSW,Fowler,9302,3107
NSW,Gilmore,10547,3520
NSW,Grayndler,9458,2702
NSW,Greenway,11176,3826
NSW,Hughes,9473,3529
NSW,Hume,12578,3686
NSW,Hunter,10397,4301
NSW,Kingsford Smith,10467,3349
NSW,Lindsay,12004,4076
NSW,Lyne,9916,4221
NSW,Macarthur,10906,3753
NSW,Mackellar,10470,3919
NSW,Macquarie,9287,3022
NSW,McMahon,10543,3568
NSW,Mitchell,15486,6224
NSW,New England,8280,2859
NSW,Newcastle,10788,4217
NSW,North Sydney,13356,4524
NSW,Page,9727,3688
NSW,Parkes,9337,2363
NSW,Parramatta,12779,4434
NSW,Paterson,10118,4274
NSW,Reid,12793,4470
NSW,Richmond,9483,3108
NSW,Riverina,8143,2981
NSW,Robertson,10555,4039
NSW,Shortland,11278,4656
NSW,Sydney,13124,3635
NSW,Warringah,10205,3372
NSW,Watson,10073,3498
NSW,Wentworth,11974,3632
NSW,Werriwa,11884,4008
NSW,Whitlam,9543,3571
NT,Lingiari,2563,300
NT,Solomon,3747,656
OS,Overseas,,0
QLD,Blair,19417,5927
QLD,Bonner,19908,6220
QLD,Bowman,19643,6841
QLD,Brisbane,17488,5936
QLD,Capricornia,11781,3211
QLD,Dawson,9098,3044
QLD,Dickson,20349,7159
QLD,Fadden,21384,2995
QLD,Fairfax,13416,4586
QLD,Fisher,18889,4914
QLD,Flynn,13553,2376
QLD,Forde,21321,2804
QLD,Griffith,16111,5095
QLD,Groom,21545,6811
QLD,Herbert,15353,4500
QLD,Hinkler,12450,5332
QLD,Kennedy,10380,2834
QLD,Leichhardt,12505,3541
QLD,Lilley,15604,5862
QLD,Longman,21184,7365
QLD,Maranoa,17491,6607
QLD,McPherson,13434,4907
QLD,Moncrieff,18941,2410
QLD,Moreton,15222,4441
QLD,Oxley,14003,4827
QLD,Petrie,20611,6977
QLD,Rankin,15452,5760
QLD,Ryan,14601,5381
QLD,Wide Bay,13087,4233
QLD,Wright,22078,6772
SA,Adelaide,16740,5570
SA,Barker,13352,3714
SA,Boothby,17474,4177
SA,Grey,14387,2900
SA,Hindmarsh,16507,4599
SA,Kingston,15884,3762
SA,Makin,14909,5640
SA,Mayo,15102,4232
SA,Spence,15795,4379
SA,Sturt,20405,8341
TAS,Bass,10940,4065
TAS,Braddon,7592,2132
TAS,Clark,8651,3615
TAS,Franklin,9545,3923
TAS,Lyons,10427,4071
VIC,Aston,14369,7353
VIC,Ballarat,10730,3528
VIC,Bendigo,11606,4826
VIC,Bruce,14496,6488
VIC,Calwell,14151,5659
VIC,Casey,14672,7043
VIC,Chisholm,16272,7246
VIC,Cooper,12753,4752
VIC,Corangamite,15330,6502
VIC,Corio,13308,6254
VIC,Deakin,18774,8378
VIC,Dunkley,14940,6632
VIC,Flinders,13537,6578
VIC,Fraser,13701,5396
VIC,Gellibrand,13037,5399
VIC,Gippsland,8545,3045
VIC,Goldstein,15065,5045
VIC,Gorton,15648,6692
VIC,Hawke,13461,5249
VIC,Higgins,15293,5713
VIC,Holt,12526,5271
VIC,Hotham,15408,5430
VIC,Indi,12177,4030
VIC,Isaacs,14069,6004
VIC,Jagajaga,13301,5622
VIC,Kooyong,15431,6214
VIC,La Trobe,16015,7102
VIC,Lalor,11923,4930
VIC,Macnamara,18923,6450
VIC,Mallee,11988,4500
VIC,Maribyrnong,15941,7035
VIC,McEwen,16576,7269
VIC,Melbourne,14936,4657
VIC,Menzies,17083,8079
VIC,Monash,10525,3896
VIC,Nicholls,9142,3539
VIC,Scullin,14017,6005
VIC,Wannon,11811,3479
VIC,Wills,14073,5232
WA,Brand,11161,2859
WA,Burt,10274,3550
WA,Canning,12788,3146
WA,Cowan,11486,2623
WA,Curtin,13876,2551
WA,Durack,10605,1646
WA,Forrest,10758,3052
WA,Fremantle,11294,2350
WA,Hasluck,12459,2503
WA,Moore,13584,2854
WA,O'Connor,11745,2427
WA,Pearce,12163,2360
WA,Perth,12630,2825
WA,Swan,13257,2711
WA,Tangney,13910,3692
