State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6181,418
ACT,Canberra,7770,446
ACT,Fenner,5984,368
NSW,Banks,8392,58
NSW,Barton,7544,37
NSW,Bennelong,10668,58
NSW,Berowra,9121,64
NSW,Blaxland,7147,58
NSW,Bradfield,9761,70
NSW,Calare,6394,0
NSW,Chifley,8050,79
NSW,Cook,10044,93
NSW,Cowper,7600,0
NSW,Cunningham,7981,157
NSW,Dobell,8395,183
NSW,Eden-Monaro,8613,414
NSW,Farrer,9430,670
NSW,Fowler,6944,55
NSW,Gilmore,8847,57
NSW,Grayndler,7689,190
NSW,Greenway,8722,73
NSW,Hughes,7698,67
NSW,Hume,10566,257
NSW,Hunter,8943,744
NSW,Kingsford Smith,8453,273
NSW,Lindsay,10121,122
NSW,Lyne,8501,652
NSW,Macarthur,8336,52
NSW,Mackellar,8522,94
NSW,Macquarie,7742,57
NSW,McMahon,7912,57
NSW,Mitchell,12853,77
NSW,New England,6929,95
NSW,Newcastle,9283,740
NSW,North Sydney,10933,121
NSW,Page,8238,108
NSW,Parkes,8135,102
NSW,Parramatta,9810,62
NSW,Paterson,8530,828
NSW,Reid,9881,101
NSW,Richmond,7878,46
NSW,Riverina,7060,516
NSW,Robertson,8818,158
NSW,Shortland,9700,668
NSW,Sydney,10521,360
NSW,Warringah,8511,47
NSW,Watson,7568,72
NSW,Wentworth,9958,360
NSW,Werriwa,8737,36
NSW,Whitlam,8055,405
NT,Lingiari,2195,0
NT,Solomon,3168,0
QLD,Blair,14144,589
QLD,Bonner,14394,695
QLD,Bowman,14920,817
QLD,Brisbane,13762,888
QLD,Capricornia,10043,2
QLD,Dawson,7497,222
QLD,Dickson,15496,840
QLD,Fadden,15147,344
QLD,Fairfax,11007,0
QLD,Fisher,13332,0
QLD,Flynn,11657,1
QLD,Forde,15162,656
QLD,Griffith,12447,578
QLD,Groom,15441,493
QLD,Herbert,10882,90
QLD,Hinkler,10567,161
QLD,Kennedy,9020,0
QLD,Leichhardt,9087,0
QLD,Lilley,12386,806
QLD,Longman,15524,782
QLD,Maranoa,15284,646
QLD,McPherson,10639,790
QLD,Moncrieff,13174,571
QLD,Moreton,11761,593
QLD,Oxley,10433,573
QLD,Petrie,14795,782
QLD,Rankin,11980,687
QLD,Ryan,11735,601
QLD,Wide Bay,10736,56
QLD,Wright,15850,529
SA,Adelaide,13660,6
SA,Barker,10129,6
SA,Boothby,13864,0
SA,Grey,11571,0
SA,Hindmarsh,13363,0
SA,Kingston,12570,0
SA,Makin,12224,0
SA,Mayo,12381,0
SA,Spence,12579,0
SA,Sturt,17348,66
TAS,Bass,9442,0
TAS,Braddon,6636,0
TAS,Clark,7468,0
TAS,Franklin,8322,0
TAS,Lyons,8873,0
VIC,Aston,11944,1193
VIC,Ballarat,8434,1
VIC,Bendigo,9618,0
VIC,Bruce,10895,793
VIC,Calwell,9179,0
VIC,Casey,12075,366
VIC,Chisholm,12631,1044
VIC,Cooper,9653,2
VIC,Corangamite,11794,340
VIC,Corio,10274,691
VIC,Deakin,14886,1220
VIC,Dunkley,11664,74
VIC,Flinders,11337,350
VIC,Fraser,9866,705
VIC,Gellibrand,9476,0
VIC,Gippsland,7062,0
VIC,Goldstein,12450,695
VIC,Gorton,10885,810
VIC,Hawke,10099,86
VIC,Higgins,12101,0
VIC,Holt,9136,219
VIC,Hotham,11071,792
VIC,Indi,10166,1
VIC,Isaacs,10614,482
VIC,Jagajaga,10292,0
VIC,Kooyong,12190,0
VIC,La Trobe,12618,876
VIC,Lalor,8634,0
VIC,Macnamara,15527,0
VIC,Mallee,10047,0
VIC,Maribyrnong,12143,0
VIC,McEwen,12199,0
VIC,Melbourne,11269,0
VIC,Menzies,13648,1103
VIC,Monash,8500,0
VIC,Nicholls,7526,0
VIC,Scullin,9826,0
VIC,Wannon,9101,1
VIC,Wills,10380,0
WA,Brand,9162,0
WA,Burt,8160,0
WA,Canning,8990,0
WA,Cowan,9280,0
WA,Curtin,10757,0
WA,Durack,7937,0
WA,Forrest,7510,0
WA,Fremantle,9271,0
WA,Hasluck,9643,0
WA,Moore,10072,0
WA,O'Connor,8789,0
WA,Pearce,9339,0
WA,Perth,10550,0
WA,Swan,9766,0
WA,Tangney,10707,0
