State,Division,Valid Apps Received,Postal Votes Returned
State,Bean,7468,2539
State,Canberra,9167,2651
State,Fenner,7269,2456
State,Banks,10404,3887
State,Barton,9672,3388
State,Bennelong,13245,4750
State,Berowra,11070,4000
State,Blaxland,9652,3213
State,Bradfield,11708,4062
State,Calare,7459,2061
State,Chifley,10462,3506
State,Cook,11613,4599
State,Cowper,9103,2871
State,Cunningham,9495,3410
State,Dobell,10046,3955
State,Eden-Monaro,10183,3261
State,Farrer,11025,3596
State,Fowler,9192,3107
State,Gilmore,10459,3520
State,Grayndler,9353,2702
State,Greenway,11050,3826
State,Hughes,9358,3529
State,Hume,12474,3686
State,Hunter,10297,4301
State,Kingsford Smith,10371,3349
State,Lindsay,11878,4076
State,Lyne,9862,4221
State,Macarthur,10744,3753
State,Mackellar,10372,3919
State,Macquarie,9214,3022
State,McMahon,10406,3568
State,Mitchell,15308,6224
State,New England,8218,2859
State,Newcastle,10696,4217
State,North Sydney,13215,4524
State,Page,9670,3688
State,Parkes,9267,2363
State,Parramatta,12595,4434
State,Paterson,10040,4274
State,Reid,12585,4470
State,Richmond,9387,3108
State,Riverina,8099,2981
State,Robertson,10481,4039
State,Shortland,11216,4656
State,Sydney,12967,3635
State,Warringah,10115,3372
State,Watson,9947,3498
State,Wentworth,11866,3632
State,Werriwa,11697,4008
State,Whitlam,9477,3571
State,Lingiari,2545,300
State,Solomon,3723,656
State,Blair,19231,5927
State,Bonner,19785,6220
State,Bowman,19537,6841
State,Brisbane,17301,5936
State,Capricornia,11696,3211
State,Dawson,9013,3044
State,Dickson,20229,7159
State,Fadden,21276,2995
State,Fairfax,13286,4586
State,Fisher,18783,4914
State,Flynn,13454,2376
State,Forde,21169,2804
State,Griffith,15919,5095
State,Groom,21457,6811
State,Herbert,15262,4500
State,Hinkler,12377,5332
State,Kennedy,10322,2834
State,Leichhardt,12443,3541
State,Lilley,15465,5862
State,Longman,21059,7365
State,Maranoa,17392,6607
State,McPherson,13311,4907
State,Moncrieff,18824,2410
State,Moreton,15038,4441
State,Oxley,13752,4827
State,Petrie,20490,6977
State,Rankin,15279,5760
State,Ryan,14464,5381
State,Wide Bay,12990,4233
State,Wright,21898,6772
State,Adelaide,16587,5570
State,Barker,13300,3714
State,Boothby,17349,4177
State,Grey,14321,2900
State,Hindmarsh,16343,4599
State,Kingston,15765,3762
State,Makin,14823,5640
State,Mayo,15024,4232
State,Spence,15647,4379
State,Sturt,20313,8341
State,Bass,10895,4065
State,Braddon,7563,2132
State,Clark,8608,3615
State,Franklin,9493,3923
State,Lyons,10372,4071
State,Aston,14257,7353
State,Ballarat,10638,3528
State,Bendigo,11533,4826
State,Bruce,14280,6488
State,Calwell,13777,5659
State,Casey,14544,7043
State,Chisholm,16098,7246
State,Cooper,12579,4752
State,Corangamite,15187,6502
State,Corio,13172,6254
State,Deakin,18648,8378
State,Dunkley,14785,6632
State,Flinders,13431,6578
State,Fraser,13479,4612
State,Gellibrand,12877,5399
State,Gippsland,8464,3045
State,Goldstein,14954,5045
State,Gorton,15362,5833
State,Hawke,13276,5249
State,Higgins,15106,5268
State,Holt,12300,5271
State,Hotham,15205,5413
State,Indi,12097,4030
State,Isaacs,13892,4343
State,Jagajaga,13140,4908
State,Kooyong,15258,5331
State,La Trobe,15840,7102
State,Lalor,11755,4930
State,Macnamara,18738,5410
State,Mallee,11906,4500
State,Maribyrnong,15734,7035
State,McEwen,16348,7269
State,Melbourne,14673,3832
State,Menzies,16901,8079
State,Monash,10456,3896
State,Nicholls,9054,3539
State,Scullin,13790,6005
State,Wannon,11740,3479
State,Wills,13856,5232
State,Brand,11062,2859
State,Burt,10153,3550
State,Canning,12687,3146
State,Cowan,11386,2623
State,Curtin,13767,2551
State,Durack,10543,1646
State,Forrest,10715,3052
State,Fremantle,11231,2350
State,Hasluck,12356,2503
State,Moore,13489,2854
State,O'Connor,11689,2427
State,Pearce,12061,2360
State,Perth,12542,2825
State,Swan,13119,2711
State,Tangney,13803,3692
