State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7165,2220
ACT,Canberra,8816,2272
ACT,Fenner,6954,2123
NSW,Banks,10005,2857
NSW,Barton,9176,2453
NSW,Bennelong,12651,2553
NSW,Berowra,10621,1588
NSW,Blaxland,8961,2293
NSW,Bradfield,11259,1620
NSW,Calare,7187,1547
NSW,Chifley,9890,2080
NSW,Cook,11209,3565
NSW,Cowper,8749,1423
NSW,Cunningham,9155,1486
NSW,Dobell,9676,3082
NSW,Eden-Monaro,9855,2629
NSW,Farrer,10734,2999
NSW,Fowler,8623,1994
NSW,Gilmore,10135,2086
NSW,Grayndler,9003,2011
NSW,Greenway,10532,2716
NSW,Hughes,9053,2686
NSW,Hume,12087,2951
NSW,Hunter,9979,3697
NSW,Kingsford Smith,9910,2521
NSW,Lindsay,11452,2473
NSW,Lyne,9569,3606
NSW,Macarthur,10183,2582
NSW,Mackellar,9995,2592
NSW,Macquarie,8922,1935
NSW,McMahon,9810,2429
NSW,Mitchell,14684,4635
NSW,New England,7924,2330
NSW,Newcastle,10351,3732
NSW,North Sydney,12729,2913
NSW,Page,9386,3005
NSW,Parkes,8988,1880
NSW,Parramatta,11922,3164
NSW,Paterson,9718,3724
NSW,Reid,11926,3367
NSW,Richmond,9081,773
NSW,Riverina,7879,1783
NSW,Robertson,10059,3225
NSW,Shortland,10893,4128
NSW,Sydney,12427,2655
NSW,Warringah,9801,2313
NSW,Watson,9348,2568
NSW,Wentworth,11394,2708
NSW,Werriwa,10936,2769
NSW,Whitlam,9167,2341
NT,Lingiari,2475,52
NT,Solomon,3596,164
QLD,Blair,17884,4725
QLD,Bonner,18646,5208
QLD,Bowman,18439,5761
QLD,Brisbane,16519,4925
QLD,Capricornia,11347,973
QLD,Dawson,8674,1535
QLD,Dickson,19238,5762
QLD,Fadden,20098,2270
QLD,Fairfax,12802,3653
QLD,Fisher,17677,4034
QLD,Flynn,13068,825
QLD,Forde,19827,2204
QLD,Griffith,15062,3938
QLD,Groom,20277,5531
QLD,Herbert,13958,3213
QLD,Hinkler,11956,4606
QLD,Kennedy,10005,1719
QLD,Leichhardt,11678,2733
QLD,Lilley,14772,5021
QLD,Longman,19712,6123
QLD,Maranoa,16938,4969
QLD,McPherson,12668,4133
QLD,Moncrieff,17586,2034
QLD,Moreton,14227,3471
QLD,Oxley,13048,4056
QLD,Petrie,19281,5788
QLD,Rankin,14516,4313
QLD,Ryan,13824,4613
QLD,Wide Bay,12426,3913
QLD,Wright,20552,5482
SA,Adelaide,15927,4383
SA,Barker,12426,2534
SA,Boothby,16160,2759
SA,Grey,13589,1566
SA,Hindmarsh,15623,3234
SA,Kingston,14641,2259
SA,Makin,13988,4555
SA,Mayo,14222,2818
SA,Spence,14801,3051
SA,Sturt,19698,6893
TAS,Bass,10548,3169
TAS,Braddon,7363,2129
TAS,Clark,8311,3196
TAS,Franklin,9212,3319
TAS,Lyons,9990,3327
VIC,Aston,13771,6545
VIC,Ballarat,10183,2918
VIC,Bendigo,11202,4220
VIC,Bruce,13535,5636
VIC,Calwell,12624,4850
VIC,Casey,14009,6116
VIC,Chisholm,15315,6309
VIC,Cooper,11883,3345
VIC,Corangamite,14509,5848
VIC,Corio,12607,5496
VIC,Deakin,17733,7105
VIC,Dunkley,14104,5045
VIC,Flinders,13003,4831
VIC,Fraser,12590,3883
VIC,Gellibrand,12118,3882
VIC,Gippsland,8202,2768
VIC,Goldstein,14457,3876
VIC,Gorton,14245,4861
VIC,Hawke,12643,2695
VIC,Higgins,14425,3953
VIC,Holt,11592,4566
VIC,Hotham,14271,4576
VIC,Indi,11697,3239
VIC,Isaacs,13203,4343
VIC,Jagajaga,12552,3888
VIC,Kooyong,14538,3575
VIC,La Trobe,15251,6199
VIC,Lalor,10997,3808
VIC,Macnamara,18052,3085
VIC,Mallee,11543,3715
VIC,Maribyrnong,14981,6172
VIC,McEwen,15496,4269
VIC,Melbourne,13902,2557
VIC,Menzies,16189,7179
VIC,Monash,10046,3240
VIC,Nicholls,8708,2605
VIC,Scullin,12948,5172
VIC,Wannon,11116,1234
VIC,Wills,13083,4411
WA,Brand,10625,1633
WA,Burt,9701,2700
WA,Canning,12236,834
WA,Cowan,10906,1262
WA,Curtin,13172,1368
WA,Durack,10141,970
WA,Forrest,10364,2472
WA,Fremantle,10829,1171
WA,Hasluck,11830,1326
WA,Moore,13043,1591
WA,O'Connor,11305,1581
WA,Pearce,11541,1236
WA,Perth,12099,1528
WA,Swan,12428,1433
WA,Tangney,13150,2590
