State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7339,2539
ACT,Canberra,9031,2651
ACT,Fenner,7132,2456
NSW,Banks,10236,3887
NSW,Barton,9434,3388
NSW,Bennelong,12991,4712
NSW,Berowra,10870,3999
NSW,Blaxland,9340,3213
NSW,Bradfield,11519,4062
NSW,Calare,7336,2061
NSW,Chifley,10225,3504
NSW,Cook,11436,4587
NSW,Cowper,8960,2871
NSW,Cunningham,9360,3410
NSW,Dobell,9899,3955
NSW,Eden-Monaro,10041,3261
NSW,Farrer,10910,3596
NSW,Fowler,8943,3107
NSW,Gilmore,10325,3520
NSW,Grayndler,9196,2702
NSW,Greenway,10820,3825
NSW,Hughes,9229,3524
NSW,Hume,12311,3686
NSW,Hunter,10124,4301
NSW,Kingsford Smith,10160,3349
NSW,Lindsay,11709,4076
NSW,Lyne,9745,4221
NSW,Macarthur,10509,3747
NSW,Mackellar,10206,3919
NSW,Macquarie,9086,3022
NSW,McMahon,10151,3568
NSW,Mitchell,15074,6224
NSW,New England,8089,2859
NSW,Newcastle,10514,4217
NSW,North Sydney,12991,4524
NSW,Page,9536,3688
NSW,Parkes,9156,2363
NSW,Parramatta,12305,4065
NSW,Paterson,9892,4274
NSW,Reid,12314,4470
NSW,Richmond,9243,3108
NSW,Riverina,7991,2981
NSW,Robertson,10268,4039
NSW,Shortland,11073,4656
NSW,Sydney,12750,3635
NSW,Warringah,9979,3372
NSW,Watson,9666,3498
NSW,Wentworth,11665,3631
NSW,Werriwa,11360,3995
NSW,Whitlam,9336,3571
NT,Lingiari,2514,300
NT,Solomon,3666,656
QLD,Blair,18989,5926
QLD,Bonner,19555,6220
QLD,Bowman,19366,6841
QLD,Brisbane,17015,5936
QLD,Capricornia,11542,1565
QLD,Dawson,8851,3044
QLD,Dickson,20021,7159
QLD,Fadden,21073,2270
QLD,Fairfax,13100,4585
QLD,Fisher,18571,4914
QLD,Flynn,13327,1275
QLD,Forde,20894,2204
QLD,Griffith,15560,5095
QLD,Groom,21314,6812
QLD,Herbert,15109,4500
QLD,Hinkler,12246,5332
QLD,Kennedy,10229,2834
QLD,Leichhardt,12321,3541
QLD,Lilley,15220,5862
QLD,Longman,20853,7365
QLD,Maranoa,17229,6608
QLD,McPherson,13079,4153
QLD,Moncrieff,18628,2034
QLD,Moreton,14697,4441
QLD,Oxley,13488,4826
QLD,Petrie,20240,6977
QLD,Rankin,14998,5760
QLD,Ryan,14222,5381
QLD,Wide Bay,12791,4233
QLD,Wright,21675,6771
SA,Adelaide,16358,5570
SA,Barker,13086,2534
SA,Boothby,17026,4167
SA,Grey,14114,2900
SA,Hindmarsh,16078,4582
SA,Kingston,15489,3762
SA,Makin,14579,4574
SA,Mayo,14820,4232
SA,Spence,15345,4324
SA,Sturt,20058,8341
TAS,Bass,10784,4066
TAS,Braddon,7496,2132
TAS,Clark,8507,3615
TAS,Franklin,9400,3923
TAS,Lyons,10257,4070
VIC,Aston,14057,7353
VIC,Ballarat,10405,3528
VIC,Bendigo,11386,4826
VIC,Bruce,13947,6488
VIC,Calwell,13250,5659
VIC,Casey,14304,7043
VIC,Chisholm,15748,7246
VIC,Cooper,12272,4418
VIC,Corangamite,14864,6502
VIC,Corio,12941,6229
VIC,Deakin,18419,8379
VIC,Dunkley,14504,6627
VIC,Flinders,13229,6571
VIC,Fraser,13086,4611
VIC,Gellibrand,12517,4623
VIC,Gippsland,8330,3045
VIC,Goldstein,14752,5043
VIC,Gorton,14931,5833
VIC,Hawke,13014,5249
VIC,Higgins,14823,5268
VIC,Holt,11985,5271
VIC,Hotham,14832,5413
VIC,Indi,11951,4030
VIC,Isaacs,13592,4343
VIC,Jagajaga,12871,4908
VIC,Kooyong,14921,5331
VIC,La Trobe,15602,7102
VIC,Lalor,11388,4372
VIC,Macnamara,18456,5410
VIC,Mallee,11770,4500
VIC,Maribyrnong,15424,7035
VIC,McEwen,15990,7269
VIC,Melbourne,14328,3831
VIC,Menzies,16578,8079
VIC,Monash,10277,3896
VIC,Nicholls,8899,3539
VIC,Scullin,13440,6005
VIC,Wannon,11565,3479
VIC,Wills,13587,5232
WA,Brand,10857,2858
WA,Burt,9962,3550
WA,Canning,12449,3144
WA,Cowan,11156,2444
WA,Curtin,13504,1407
WA,Durack,10351,1646
WA,Forrest,10547,2472
WA,Fremantle,11028,2350
WA,Hasluck,12123,2496
WA,Moore,13273,2818
WA,O'Connor,11493,2427
WA,Pearce,11799,2360
WA,Perth,12350,2236
WA,Swan,12806,2703
WA,Tangney,13505,3690
