State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6499,418
ACT,Canberra,8131,446
ACT,Fenner,6335,368
NSW,Banks,8916,58
NSW,Barton,8075,37
NSW,Bennelong,11391,58
NSW,Berowra,9601,64
NSW,Blaxland,7670,58
NSW,Bradfield,10299,70
NSW,Calare,6679,0
NSW,Chifley,8672,79
NSW,Cook,10416,93
NSW,Cowper,8017,0
NSW,Cunningham,8407,158
NSW,Dobell,8809,183
NSW,Eden-Monaro,9082,414
NSW,Farrer,9794,670
NSW,Fowler,7539,55
NSW,Gilmore,9290,57
NSW,Grayndler,8148,190
NSW,Greenway,9362,73
NSW,Hughes,8183,67
NSW,Hume,11070,257
NSW,Hunter,9324,744
NSW,Kingsford Smith,8945,273
NSW,Lindsay,10536,122
NSW,Lyne,8863,652
NSW,Macarthur,8971,52
NSW,Mackellar,9055,94
NSW,Macquarie,8203,57
NSW,McMahon,8538,57
NSW,Mitchell,13525,77
NSW,New England,7271,95
NSW,Newcastle,9666,740
NSW,North Sydney,11560,121
NSW,Page,8691,109
NSW,Parkes,8391,102
NSW,Parramatta,10527,62
NSW,Paterson,8948,828
NSW,Reid,10616,101
NSW,Richmond,8328,46
NSW,Riverina,7336,519
NSW,Robertson,9257,158
NSW,Shortland,10126,668
NSW,Sydney,11215,360
NSW,Warringah,8971,47
NSW,Watson,8114,72
NSW,Wentworth,10455,360
NSW,Werriwa,9496,36
NSW,Whitlam,8445,405
NT,Lingiari,2300,0
NT,Solomon,3357,0
QLD,Blair,15572,589
QLD,Bonner,16220,695
QLD,Bowman,16251,817
QLD,Brisbane,14758,888
QLD,Capricornia,10530,2
QLD,Dawson,7946,222
QLD,Dickson,16929,840
QLD,Fadden,17284,344
QLD,Fairfax,11613,0
QLD,Fisher,14965,0
QLD,Flynn,12159,1
QLD,Forde,16926,656
QLD,Griffith,13453,578
QLD,Groom,17483,493
QLD,Herbert,12056,90
QLD,Hinkler,11079,161
QLD,Kennedy,9345,0
QLD,Leichhardt,10015,0
QLD,Lilley,13244,806
QLD,Longman,17438,1018
QLD,Maranoa,15921,646
QLD,McPherson,11351,790
QLD,Moncrieff,14967,571
QLD,Moreton,12732,593
QLD,Oxley,11316,576
QLD,Petrie,16598,927
QLD,Rankin,12974,687
QLD,Ryan,12545,601
QLD,Wide Bay,11373,56
QLD,Wright,17737,529
SA,Adelaide,14454,6
SA,Barker,10541,6
SA,Boothby,14524,0
SA,Grey,12005,0
SA,Hindmarsh,14174,0
SA,Kingston,13239,0
SA,Makin,12689,0
SA,Mayo,12957,0
SA,Spence,13239,0
SA,Sturt,17958,66
TAS,Bass,9889,220
TAS,Braddon,6935,4
TAS,Clark,7801,615
TAS,Franklin,8674,252
TAS,Lyons,9335,245
VIC,Aston,12729,2251
VIC,Ballarat,9192,271
VIC,Bendigo,10309,662
VIC,Bruce,12027,1854
VIC,Calwell,10734,951
VIC,Casey,12980,1418
VIC,Chisholm,13788,2044
VIC,Cooper,10657,2
VIC,Corangamite,13013,1151
VIC,Corio,11425,1523
VIC,Deakin,15702,2430
VIC,Dunkley,12666,1063
VIC,Flinders,12103,1402
VIC,Fraser,11060,1020
VIC,Gellibrand,10754,997
VIC,Gippsland,7611,479
VIC,Goldstein,13420,1746
VIC,Gorton,12372,1313
VIC,Hawke,11280,1192
VIC,Higgins,13172,27
VIC,Holt,10106,1047
VIC,Hotham,12613,1740
VIC,Indi,10838,219
VIC,Isaacs,11809,1353
VIC,Jagajaga,11353,62
VIC,Kooyong,13273,22
VIC,La Trobe,13844,1903
VIC,Lalor,9654,951
VIC,Macnamara,16720,0
VIC,Mallee,10653,128
VIC,Maribyrnong,13442,2068
VIC,McEwen,13727,1187
VIC,Melbourne,12442,0
VIC,Menzies,14794,2252
VIC,Monash,9130,100
VIC,Nicholls,8079,168
VIC,Scullin,11202,766
VIC,Wannon,9665,151
VIC,Wills,11611,1146
WA,Brand,9826,6
WA,Burt,8833,76
WA,Canning,9976,21
WA,Cowan,9963,0
WA,Curtin,11614,0
WA,Durack,8595,0
WA,Forrest,8531,99
WA,Fremantle,9995,4
WA,Hasluck,10424,2
WA,Moore,10928,0
WA,O'Connor,9689,6
WA,Pearce,10071,0
WA,Perth,11227,0
WA,Swan,10717,4
WA,Tangney,11593,36
