State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7746,3204
ACT,Canberra,9487,3301
ACT,Fenner,7565,3080
NSW,Banks,10728,4700
NSW,Barton,10115,4100
NSW,Bennelong,13696,5904
NSW,Berowra,11438,4993
NSW,Blaxland,10112,4204
NSW,Bradfield,12111,5059
NSW,Calare,7645,2736
NSW,Chifley,10912,4600
NSW,Cook,11925,5996
NSW,Cowper,9333,4269
NSW,Cunningham,9716,4797
NSW,Dobell,10312,4749
NSW,Eden-Monaro,10454,4348
NSW,Farrer,11306,5337
NSW,Fowler,9593,4070
NSW,Gilmore,10690,4598
NSW,Grayndler,9657,3490
NSW,Greenway,11510,4893
NSW,Hughes,9640,4567
NSW,Hume,12754,5632
NSW,Hunter,10561,5498
NSW,Kingsford Smith,10686,4316
NSW,Lindsay,12220,5236
NSW,Lyne,10057,4769
NSW,Macarthur,11228,4798
NSW,Mackellar,10669,4835
NSW,Macquarie,9418,3823
NSW,McMahon,10927,4634
NSW,Mitchell,15819,7492
NSW,New England,8450,3834
NSW,Newcastle,10980,5439
NSW,North Sydney,13636,5574
NSW,Page,9877,4750
NSW,Parkes,9521,3563
NSW,Parramatta,13127,5528
NSW,Paterson,10260,5415
NSW,Reid,13141,5428
NSW,Richmond,9653,3897
NSW,Riverina,8245,3740
NSW,Robertson,10720,5321
NSW,Shortland,11430,6054
NSW,Sydney,13436,4616
NSW,Warringah,10392,4205
NSW,Watson,10391,4515
NSW,Wentworth,12192,4657
NSW,Werriwa,12314,5087
NSW,Whitlam,9715,4678
NT,Lingiari,2630,466
NT,Solomon,3820,965
QLD,Blair,19820,6998
QLD,Bonner,20407,8202
QLD,Bowman,20027,8737
QLD,Brisbane,17894,7270
QLD,Capricornia,11962,3891
QLD,Dawson,9268,3894
QLD,Dickson,20739,8944
QLD,Fadden,21860,5054
QLD,Fairfax,13627,5026
QLD,Fisher,19245,5718
QLD,Flynn,13737,3853
QLD,Forde,21880,4028
QLD,Griffith,16503,6063
QLD,Groom,21764,7709
QLD,Herbert,15650,5773
QLD,Hinkler,12610,6562
QLD,Kennedy,10480,3871
QLD,Leichhardt,12750,4580
QLD,Lilley,15911,7223
QLD,Longman,21564,9515
QLD,Maranoa,17718,7367
QLD,McPherson,13673,5515
QLD,Moncrieff,19330,4655
QLD,Moreton,15604,6584
QLD,Oxley,14335,5486
QLD,Petrie,21040,9056
QLD,Rankin,15798,6266
QLD,Ryan,14896,6314
QLD,Wide Bay,13321,4769
QLD,Wright,22508,7948
SA,Adelaide,17092,5812
SA,Barker,13648,3908
SA,Boothby,17859,5623
SA,Grey,14725,4051
SA,Hindmarsh,16843,6089
SA,Kingston,16225,5060
SA,Makin,15397,5760
SA,Mayo,15334,5396
SA,Spence,16416,5483
SA,Sturt,20731,8696
TAS,Bass,11080,5591
TAS,Braddon,7671,3694
TAS,Clark,8755,3974
TAS,Franklin,9657,4532
TAS,Lyons,10558,5255
VIC,Aston,14584,8396
VIC,Ballarat,10881,4667
VIC,Bendigo,11792,5493
VIC,Bruce,14924,7692
VIC,Calwell,14862,6539
VIC,Casey,14947,8190
VIC,Chisholm,16629,8389
VIC,Cooper,13029,5802
VIC,Corangamite,15636,8381
VIC,Corio,13519,7408
VIC,Deakin,19342,9905
VIC,Dunkley,15216,7827
VIC,Flinders,13699,7766
VIC,Fraser,14128,6190
VIC,Gellibrand,13425,6202
VIC,Gippsland,8653,3940
VIC,Goldstein,15330,7382
VIC,Gorton,16180,7580
VIC,Hawke,13798,6988
VIC,Higgins,15602,6733
VIC,Holt,12911,6259
VIC,Hotham,15880,7450
VIC,Indi,12353,5463
VIC,Isaacs,14417,6004
VIC,Jagajaga,13530,6864
VIC,Kooyong,15740,7094
VIC,La Trobe,16359,8360
VIC,Lalor,12248,5676
VIC,Macnamara,19225,7449
VIC,Mallee,12167,5647
VIC,Maribyrnong,16299,8283
VIC,McEwen,16935,8246
VIC,Melbourne,15291,5569
VIC,Menzies,17458,9345
VIC,Monash,10696,4772
VIC,Nicholls,9267,4453
VIC,Scullin,14353,6961
VIC,Wannon,12260,4559
VIC,Wills,14492,6297
WA,Brand,11406,4033
WA,Burt,10544,4473
WA,Canning,12976,4046
WA,Cowan,11750,3797
WA,Curtin,14101,3607
WA,Durack,10788,2381
WA,Forrest,10894,3687
WA,Fremantle,11536,3547
WA,Hasluck,12692,3680
WA,Moore,13801,4072
WA,O'Connor,11929,3236
WA,Pearce,12351,3507
WA,Perth,12891,3890
WA,Swan,13536,3883
WA,Tangney,14131,4592
