State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,5102,0
ACT,Canberra,6528,0
ACT,Fenner,4952,0
NSW,Banks,6767,0
NSW,Barton,5868,0
NSW,Bennelong,8735,0
NSW,Berowra,7298,0
NSW,Blaxland,5421,0
NSW,Bradfield,7715,0
NSW,Calare,5438,0
NSW,Chifley,6258,0
NSW,Cook,8449,0
NSW,Cowper,6132,0
NSW,Cunningham,6498,0
NSW,Dobell,6961,0
NSW,Eden-Monaro,7231,0
NSW,Farrer,8042,0
NSW,Fowler,5309,0
NSW,Gilmore,7165,0
NSW,Grayndler,6204,0
NSW,Greenway,6749,0
NSW,Hughes,6344,0
NSW,Hume,8633,0
NSW,Hunter,7513,0
NSW,Kingsford Smith,6865,0
NSW,Lindsay,8333,0
NSW,Lyne,6881,0
NSW,Macarthur,6614,0
NSW,Mackellar,6922,0
NSW,Macquarie,6584,0
NSW,McMahon,6060,0
NSW,Mitchell,10473,0
NSW,New England,5628,0
NSW,Newcastle,7705,0
NSW,North Sydney,8934,0
NSW,Page,6853,0
NSW,Parkes,6746,0
NSW,Parramatta,7665,0
NSW,Paterson,7110,0
NSW,Reid,7715,0
NSW,Richmond,6344,0
NSW,Riverina,5947,0
NSW,Robertson,7364,0
NSW,Shortland,8164,0
NSW,Sydney,8429,0
NSW,Warringah,6923,0
NSW,Watson,5767,0
NSW,Wentworth,8318,0
NSW,Werriwa,6650,0
NSW,Whitlam,6467,0
NT,Lingiari,1799,0
NT,Solomon,2564,0
OS,Overseas,,0
QLD,Blair,10687,0
QLD,Bonner,9810,0
QLD,Bowman,10785,0
QLD,Brisbane,10744,0
QLD,Capricornia,8501,0
QLD,Dawson,6069,0
QLD,Dickson,11460,0
QLD,Fadden,11270,0
QLD,Fairfax,8955,0
QLD,Fisher,9682,0
QLD,Flynn,9954,0
QLD,Forde,11302,0
QLD,Griffith,9679,0
QLD,Groom,10887,0
QLD,Herbert,8500,0
QLD,Hinkler,8752,0
QLD,Kennedy,7752,0
QLD,Leichhardt,7098,0
QLD,Lilley,9368,0
QLD,Longman,11204,0
QLD,Maranoa,13181,0
QLD,McPherson,8532,0
QLD,Moncrieff,9563,0
QLD,Moreton,8851,0
QLD,Oxley,8229,0
QLD,Petrie,10368,0
QLD,Rankin,9399,0
QLD,Ryan,9238,0
QLD,Wide Bay,8930,0
QLD,Wright,11444,0
SA,Adelaide,10620,0
SA,Barker,7056,0
SA,Boothby,10328,0
SA,Grey,7125,0
SA,Hindmarsh,10219,0
SA,Kingston,9206,0
SA,Makin,9170,0
SA,Mayo,9476,0
SA,Spence,9508,0
SA,Sturt,12679,0
TAS,Bass,7239,0
TAS,Braddon,5135,0
TAS,Clark,5790,0
TAS,Franklin,6618,0
TAS,Lyons,6851,0
VIC,Aston,10201,0
VIC,Ballarat,6976,0
VIC,Bendigo,8082,0
VIC,Bruce,8651,0
VIC,Calwell,6822,0
VIC,Casey,10217,0
VIC,Chisholm,10324,0
VIC,Cooper,7418,0
VIC,Corangamite,9582,0
VIC,Corio,8383,0
VIC,Deakin,11170,0
VIC,Dunkley,9459,0
VIC,Flinders,9477,0
VIC,Fraser,7431,0
VIC,Gellibrand,7239,0
VIC,Gippsland,5933,0
VIC,Goldstein,10334,0
VIC,Gorton,8127,0
VIC,Hawke,7809,0
VIC,Higgins,9651,0
VIC,Holt,7073,0
VIC,Hotham,8467,0
VIC,Indi,8551,0
VIC,Isaacs,8271,0
VIC,Jagajaga,8222,0
VIC,Kooyong,9588,0
VIC,La Trobe,10604,0
VIC,Lalor,6832,0
VIC,Macnamara,12932,0
VIC,Mallee,8605,0
VIC,Maribyrnong,9457,0
VIC,McEwen,9777,0
VIC,Melbourne,8676,0
VIC,Menzies,11370,0
VIC,Monash,7060,0
VIC,Nicholls,6303,0
VIC,Scullin,7343,0
VIC,Wannon,7127,0
VIC,Wills,8014,0
WA,Brand,7877,0
WA,Burt,6909,0
WA,Canning,7497,0
WA,Cowan,7573,0
WA,Curtin,8989,0
WA,Durack,6663,0
WA,Forrest,6064,0
WA,Fremantle,7812,0
WA,Hasluck,7907,0
WA,Moore,8552,0
WA,O'Connor,7252,0
WA,Pearce,7840,0
WA,Perth,8616,0
WA,Swan,7888,0
WA,Tangney,8632,0
