State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6047,34
ACT,Canberra,7604,49
ACT,Fenner,5874,32
NSW,Banks,8164,57
NSW,Barton,7309,37
NSW,Bennelong,10424,56
NSW,Berowra,8912,44
NSW,Blaxland,6937,0
NSW,Bradfield,9483,63
NSW,Calare,6298,0
NSW,Chifley,7862,50
NSW,Cook,9866,92
NSW,Cowper,7437,0
NSW,Cunningham,7809,109
NSW,Dobell,8257,135
NSW,Eden-Monaro,8453,52
NSW,Farrer,9297,115
NSW,Fowler,6745,0
NSW,Gilmore,8656,44
NSW,Grayndler,7524,0
NSW,Greenway,8509,36
NSW,Hughes,7518,56
NSW,Hume,10313,17
NSW,Hunter,8744,104
NSW,Kingsford Smith,8228,0
NSW,Lindsay,9971,87
NSW,Lyne,8343,90
NSW,Macarthur,8132,50
NSW,Mackellar,8354,3
NSW,Macquarie,7608,41
NSW,McMahon,7719,0
NSW,Mitchell,12593,0
NSW,New England,6763,10
NSW,Newcastle,9111,92
NSW,North Sydney,10671,0
NSW,Page,8068,4
NSW,Parkes,7972,5
NSW,Parramatta,9573,0
NSW,Paterson,8365,114
NSW,Reid,9629,0
NSW,Richmond,7683,0
NSW,Riverina,6971,120
NSW,Robertson,8643,135
NSW,Shortland,9574,79
NSW,Sydney,10255,0
NSW,Warringah,8337,3
NSW,Watson,7341,0
NSW,Wentworth,9771,1
NSW,Werriwa,8515,35
NSW,Whitlam,7899,101
NT,Lingiari,2143,0
NT,Solomon,3101,0
OS,Overseas,,0
QLD,Blair,13424,0
QLD,Bonner,12896,44
QLD,Bowman,13472,62
QLD,Brisbane,13411,63
QLD,Capricornia,9832,0
QLD,Dawson,7256,20
QLD,Dickson,14439,61
QLD,Fadden,14206,36
QLD,Fairfax,10731,0
QLD,Fisher,12140,0
QLD,Flynn,11420,0
QLD,Forde,14097,57
QLD,Griffith,12061,0
QLD,Groom,13670,16
QLD,Herbert,10573,0
QLD,Hinkler,10348,5
QLD,Kennedy,8878,0
QLD,Leichhardt,8780,0
QLD,Lilley,11980,55
QLD,Longman,14388,121
QLD,Maranoa,14976,0
QLD,McPherson,10386,88
QLD,Moncrieff,12522,59
QLD,Moreton,11388,0
QLD,Oxley,10169,0
QLD,Petrie,13434,82
QLD,Rankin,11632,0
QLD,Ryan,11461,43
QLD,Wide Bay,10533,0
QLD,Wright,14669,0
SA,Adelaide,13220,0
SA,Barker,9585,0
SA,Boothby,13427,0
SA,Grey,10221,0
SA,Hindmarsh,12932,0
SA,Kingston,12076,0
SA,Makin,11816,0
SA,Mayo,12019,0
SA,Spence,12163,0
SA,Sturt,16853,0
TAS,Bass,9072,0
TAS,Braddon,6372,0
TAS,Clark,7163,0
TAS,Franklin,8022,0
TAS,Lyons,8517,0
VIC,Aston,11785,1193
VIC,Ballarat,8287,1
VIC,Bendigo,9484,0
VIC,Bruce,10680,793
VIC,Calwell,8956,0
VIC,Casey,11916,366
VIC,Chisholm,12400,1044
VIC,Cooper,9477,2
VIC,Corangamite,11608,340
VIC,Corio,10111,691
VIC,Deakin,14726,1220
VIC,Dunkley,11455,74
VIC,Flinders,11168,350
VIC,Fraser,9597,0
VIC,Gellibrand,9283,0
VIC,Gippsland,6975,0
VIC,Goldstein,12275,695
VIC,Gorton,10624,0
VIC,Hawke,9902,86
VIC,Higgins,11928,0
VIC,Holt,8949,219
VIC,Hotham,10759,792
VIC,Indi,10011,1
VIC,Isaacs,10375,482
VIC,Jagajaga,10118,0
VIC,Kooyong,11987,0
VIC,La Trobe,12444,876
VIC,Lalor,8453,0
VIC,Macnamara,15308,0
VIC,Mallee,9905,0
VIC,Maribyrnong,11888,0
VIC,McEwen,11967,0
VIC,Melbourne,11027,0
VIC,Menzies,13429,1103
VIC,Monash,8374,0
VIC,Nicholls,7422,0
VIC,Scullin,9578,0
VIC,Wannon,9000,1
VIC,Wills,10144,0
WA,Brand,9003,0
WA,Burt,8019,0
WA,Canning,8759,0
WA,Cowan,9080,0
WA,Curtin,10475,0
WA,Durack,7776,0
WA,Forrest,7215,0
WA,Fremantle,9078,0
WA,Hasluck,9385,0
WA,Moore,9812,0
WA,O'Connor,8453,0
WA,Pearce,9093,0
WA,Perth,10358,0
WA,Swan,9462,0
WA,Tangney,10357,0
