State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,4782,0
ACT,Canberra,6161,0
ACT,Fenner,4639,0
NSW,Banks,6293,0
NSW,Barton,5395,0
NSW,Bennelong,8320,0
NSW,Berowra,6826,0
NSW,Blaxland,5163,0
NSW,Bradfield,7335,0
NSW,Calare,5222,0
NSW,Chifley,5869,0
NSW,Cook,8116,0
NSW,Cowper,5830,0
NSW,Cunningham,6293,0
NSW,Dobell,6721,0
NSW,Eden-Monaro,6845,0
NSW,Farrer,7120,0
NSW,Fowler,5052,0
NSW,Gilmore,6923,0
NSW,Grayndler,5799,0
NSW,Greenway,6297,0
NSW,Hughes,6139,0
NSW,Hume,8216,0
NSW,Hunter,7119,0
NSW,Kingsford Smith,6475,0
NSW,Lindsay,7796,0
NSW,Lyne,6520,0
NSW,Macarthur,6367,0
NSW,Mackellar,6577,0
NSW,Macquarie,6284,0
NSW,McMahon,5774,0
NSW,Mitchell,9956,0
NSW,New England,5332,0
NSW,Newcastle,7429,0
NSW,North Sydney,8460,0
NSW,Page,6632,0
NSW,Parkes,6491,0
NSW,Parramatta,7267,0
NSW,Paterson,6836,0
NSW,Reid,7289,0
NSW,Richmond,6056,0
NSW,Riverina,5650,0
NSW,Robertson,7080,0
NSW,Shortland,7891,0
NSW,Sydney,7874,0
NSW,Warringah,6555,0
NSW,Watson,5455,0
NSW,Wentworth,7927,0
NSW,Werriwa,6392,0
NSW,Whitlam,6259,0
NT,Lingiari,1713,0
NT,Solomon,2487,0
OS,Overseas,,0
QLD,Blair,9923,0
QLD,Bonner,9025,0
QLD,Bowman,10219,0
QLD,Brisbane,10192,0
QLD,Capricornia,8142,0
QLD,Dawson,5902,0
QLD,Dickson,10886,0
QLD,Fadden,10556,0
QLD,Fairfax,8413,0
QLD,Fisher,9024,0
QLD,Flynn,9519,0
QLD,Forde,10360,0
QLD,Griffith,9197,0
QLD,Groom,10191,0
QLD,Herbert,7931,0
QLD,Hinkler,8389,0
QLD,Kennedy,7392,0
QLD,Leichhardt,6858,0
QLD,Lilley,8857,0
QLD,Longman,10627,0
QLD,Maranoa,12680,0
QLD,McPherson,8061,0
QLD,Moncrieff,8851,0
QLD,Moreton,8404,0
QLD,Oxley,7771,0
QLD,Petrie,9719,0
QLD,Rankin,8949,0
QLD,Ryan,8793,0
QLD,Wide Bay,8508,0
QLD,Wright,10652,0
SA,Adelaide,10281,0
SA,Barker,6869,0
SA,Boothby,9816,0
SA,Grey,6874,0
SA,Hindmarsh,9942,0
SA,Kingston,8689,0
SA,Makin,8656,0
SA,Mayo,9079,0
SA,Spence,9036,0
SA,Sturt,11997,0
TAS,Bass,6617,0
TAS,Braddon,4571,0
TAS,Clark,5182,0
TAS,Franklin,6043,0
TAS,Lyons,6337,0
VIC,Aston,9860,0
VIC,Ballarat,6632,0
VIC,Bendigo,7796,0
VIC,Bruce,8166,0
VIC,Calwell,6433,0
VIC,Casey,9744,0
VIC,Chisholm,9740,0
VIC,Cooper,7172,0
VIC,Corangamite,9175,0
VIC,Corio,7989,0
VIC,Deakin,10639,0
VIC,Dunkley,9092,0
VIC,Flinders,9199,0
VIC,Fraser,6940,0
VIC,Gellibrand,6958,0
VIC,Gippsland,5735,0
VIC,Goldstein,10045,0
VIC,Gorton,7635,0
VIC,Hawke,7360,0
VIC,Higgins,9342,0
VIC,Holt,6786,0
VIC,Hotham,8189,0
VIC,Indi,8190,0
VIC,Isaacs,7991,0
VIC,Jagajaga,7968,0
VIC,Kooyong,9299,0
VIC,La Trobe,10207,0
VIC,Lalor,6591,0
VIC,Macnamara,12602,0
VIC,Mallee,8369,0
VIC,Maribyrnong,8949,0
VIC,McEwen,9436,0
VIC,Melbourne,8322,0
VIC,Menzies,10803,0
VIC,Monash,6832,0
VIC,Nicholls,6052,0
VIC,Scullin,6891,0
VIC,Wannon,6817,0
VIC,Wills,7598,0
WA,Brand,7488,0
WA,Burt,6607,0
WA,Canning,7273,0
WA,Cowan,7213,0
WA,Curtin,8608,0
WA,Durack,6424,0
WA,Forrest,5875,0
WA,Fremantle,7448,0
WA,Hasluck,7626,0
WA,Moore,8228,0
WA,O'Connor,7038,0
WA,Pearce,7540,0
WA,Perth,8232,0
WA,Swan,7635,0
WA,Tangney,8373,0
