State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7022,1771
ACT,Canberra,8636,1793
ACT,Fenner,6789,1636
NSW,Banks,9655,2238
NSW,Barton,8858,2225
NSW,Bennelong,12230,652
NSW,Berowra,10309,86
NSW,Blaxland,8545,2113
NSW,Bradfield,10951,118
NSW,Calare,7040,1452
NSW,Chifley,9524,1934
NSW,Cook,11006,3386
NSW,Cowper,8494,702
NSW,Cunningham,8937,388
NSW,Dobell,9406,2641
NSW,Eden-Monaro,9615,1870
NSW,Farrer,10445,2387
NSW,Fowler,8295,1322
NSW,Gilmore,9908,647
NSW,Grayndler,8768,1597
NSW,Greenway,10181,2524
NSW,Hughes,8789,2561
NSW,Hume,11835,1729
NSW,Hunter,9820,2130
NSW,Kingsford Smith,9622,1876
NSW,Lindsay,11232,2104
NSW,Lyne,9382,2340
NSW,Macarthur,9828,1068
NSW,Mackellar,9717,1175
NSW,Macquarie,8698,1694
NSW,McMahon,9411,2248
NSW,Mitchell,14343,1696
NSW,New England,7731,1635
NSW,Newcastle,10134,2029
NSW,North Sydney,12391,813
NSW,Page,9177,2026
NSW,Parkes,8816,1155
NSW,Parramatta,11512,1936
NSW,Paterson,9530,1693
NSW,Reid,11574,3037
NSW,Richmond,8842,770
NSW,Riverina,7701,1382
NSW,Robertson,9826,3038
NSW,Shortland,10657,2296
NSW,Sydney,12075,2080
NSW,Warringah,9562,985
NSW,Watson,8929,2357
NSW,Wentworth,11116,2014
NSW,Werriwa,10487,2541
NSW,Whitlam,8945,1127
NT,Lingiari,2415,48
NT,Solomon,3539,159
QLD,Blair,16446,1495
QLD,Bonner,16961,3554
QLD,Bowman,16917,4143
QLD,Brisbane,15967,3397
QLD,Capricornia,11089,699
QLD,Dawson,8445,1339
QLD,Dickson,17740,4312
QLD,Fadden,18323,1382
QLD,Fairfax,12453,2333
QLD,Fisher,16105,2786
QLD,Flynn,12751,657
QLD,Forde,18037,1722
QLD,Griffith,14518,2996
QLD,Groom,18266,2619
QLD,Herbert,12844,2700
QLD,Hinkler,11717,3620
QLD,Kennedy,9823,1114
QLD,Leichhardt,10700,1912
QLD,Lilley,14324,3167
QLD,Longman,18195,3742
QLD,Maranoa,16629,1820
QLD,McPherson,12287,1836
QLD,Moncrieff,16071,1563
QLD,Moreton,13779,2581
QLD,Oxley,12534,1365
QLD,Petrie,17533,3838
QLD,Rankin,14021,3407
QLD,Ryan,13497,3310
QLD,Wide Bay,12170,1181
QLD,Wright,18783,2883
SA,Adelaide,15498,681
SA,Barker,12185,513
SA,Boothby,15799,1010
SA,Grey,13355,482
SA,Hindmarsh,15170,263
SA,Kingston,14298,443
SA,Makin,13622,1044
SA,Mayo,13941,847
SA,Spence,14402,467
SA,Sturt,19392,2774
TAS,Bass,10306,3117
TAS,Braddon,7181,1694
TAS,Clark,8122,2479
TAS,Franklin,9000,2374
TAS,Lyons,9711,2880
VIC,Aston,13462,5775
VIC,Ballarat,9880,1918
VIC,Bendigo,10946,3285
VIC,Bruce,13087,4901
VIC,Calwell,12063,3972
VIC,Casey,13672,5106
VIC,Chisholm,14830,5545
VIC,Cooper,11432,2702
VIC,Corangamite,14110,4867
VIC,Corio,12261,4801
VIC,Deakin,17177,6176
VIC,Dunkley,13650,3218
VIC,Flinders,12759,3677
VIC,Fraser,12163,2731
VIC,Gellibrand,11697,2468
VIC,Gippsland,8071,1821
VIC,Goldstein,14144,3714
VIC,Gorton,13677,3196
VIC,Hawke,12278,1394
VIC,Higgins,13998,1930
VIC,Holt,11130,3019
VIC,Hotham,13787,4571
VIC,Indi,11452,2222
VIC,Isaacs,12831,4343
VIC,Jagajaga,12155,1882
VIC,Kooyong,14110,1341
VIC,La Trobe,14820,5218
VIC,Lalor,10560,2212
VIC,Macnamara,17618,1284
VIC,Mallee,11333,2570
VIC,Maribyrnong,14499,5364
VIC,McEwen,14990,3118
VIC,Melbourne,13411,1482
VIC,Menzies,15742,6119
VIC,Monash,9775,2461
VIC,Nicholls,8517,2027
VIC,Scullin,12411,4300
VIC,Wannon,10747,734
VIC,Wills,12644,3810
WA,Brand,10399,391
WA,Burt,9461,1793
WA,Canning,12022,834
WA,Cowan,10641,211
WA,Curtin,12906,306
WA,Durack,9918,466
WA,Forrest,10195,1692
WA,Fremantle,10599,182
WA,Hasluck,11569,274
WA,Moore,12835,353
WA,O'Connor,11093,816
WA,Pearce,11261,145
WA,Perth,11861,392
WA,Swan,12151,345
WA,Tangney,12876,1632
